d,s
2024-08-04,16698.359375
2024-08-05,16647.33984375
2024-08-06,16877.859375
2024-08-07,16891.830078125
2024-08-08,17090.23046875
2024-08-11,17111.650390625
2024-08-12,17174.060546875
2024-08-13,17113.359375
2024-08-14,17109.140625
2024-08-15,17430.16015625
2024-08-18,17569.5703125
2024-08-19,17511.080078125
2024-08-20,17391.009765625
2024-08-21,17641.0
2024-08-22,17612.099609375
2024-08-25,17798.73046875
2024-08-26,17874.669921875
2024-08-27,17692.44921875
2024-08-28,17786.3203125
2024-08-29,17989.0703125
2024-09-01,17691.970703125
2024-09-02,17651.490234375
2024-09-03,17457.33984375
2024-09-04,17444.30078125
2024-09-08,17196.9609375
2024-09-09,17234.08984375
2024-09-10,17108.7109375
2024-09-11,17240.390625
2024-09-12,17369.08984375
2024-09-15,17422.119140625
2024-09-16,17660.01953125
2024-09-18,18013.16015625
2024-09-19,18258.5703125
2024-09-22,18247.109375
2024-09-23,19000.560546875
2024-09-24,19129.099609375
2024-09-25,19924.580078125
2024-09-26,20632.30078125
2024-09-29,21133.6796875
2024-10-01,22443.73046875
2024-10-02,22113.509765625
2024-10-03,22736.869140625
2024-10-06,23099.779296875
2024-10-07,20926.7890625
2024-10-08,20637.240234375
2024-10-09,21251.98046875
2024-10-13,21092.869140625
2024-10-14,20318.7890625
2024-10-15,20286.849609375
2024-10-16,20079.099609375
2024-10-17,20804.109375
2024-10-20,20478.4609375
2024-10-21,20498.94921875
2024-10-22,20760.150390625
2024-10-23,20489.619140625
2024-10-24,20590.150390625
2024-10-27,20599.359375
2024-10-28,20701.140625
2024-10-29,20380.640625
2024-10-30,20317.330078125
2024-10-31,20506.4296875
2024-11-03,20567.51953125
2024-11-04,21006.970703125
2024-11-05,20538.380859375
2024-11-06,20953.33984375
2024-11-07,20728.189453125
2024-11-10,20426.9296875
2024-11-11,19846.880859375
2024-11-12,19823.44921875
2024-11-13,19435.810546875
2024-11-14,19426.33984375
2024-11-17,19576.609375
2024-11-18,19663.669921875
2024-11-19,19705.009765625
2024-11-20,19601.109375
2024-11-21,19229.970703125
2024-11-24,19150.990234375
2024-11-25,19159.19921875
2024-11-26,19603.130859375
2024-11-27,19366.9609375
2024-11-28,19423.609375
2024-12-01,19550.2890625
2024-12-02,19746.3203125
2024-12-03,19742.4609375
2024-12-04,19560.439453125
2024-12-05,19865.849609375
2024-12-08,20414.08984375
2024-12-09,20311.279296875
2024-12-10,20155.05078125
2024-12-11,20397.05078125
2024-12-12,19971.240234375
2024-12-15,19795.490234375
2024-12-16,19700.48046875
2024-12-17,19864.55078125
2024-12-18,19752.509765625
2024-12-19,19720.69921875
2024-12-22,19883.130859375
2024-12-23,20098.2890625
2024-12-26,20090.4609375
2024-12-29,20041.419921875
2024-12-30,20059.94921875
2025-01-01,19623.3203125
2025-01-02,19760.26953125
2025-01-05,19688.2890625
2025-01-06,19447.580078125
2025-01-07,19279.83984375
2025-01-08,19240.890625
2025-01-09,19064.2890625
2025-01-12,18874.140625
2025-01-13,19219.779296875
2025-01-14,19286.0703125
2025-01-15,19522.890625
2025-01-16,19584.060546875
2025-01-19,19925.810546875
2025-01-20,20106.55078125
2025-01-21,19778.76953125
2025-01-22,19700.560546875
2025-01-23,20066.189453125
2025-01-26,20197.76953125
2025-01-27,20225.109375
2025-02-02,20217.259765625
2025-02-03,20789.9609375
2025-02-04,20597.08984375
2025-02-05,20891.619140625
2025-02-06,21133.5390625
2025-02-09,21521.98046875
2025-02-10,21294.859375
2025-02-11,21857.919921875
2025-02-12,21814.369140625
2025-02-13,22620.330078125
2025-02-16,22616.23046875
2025-02-17,22976.810546875
2025-02-18,22944.240234375
2025-02-19,22576.98046875
2025-02-20,23477.919921875
2025-02-23,23341.609375
2025-02-24,23034.01953125
2025-02-25,23787.9296875
2025-02-26,23718.2890625
2025-02-27,22941.3203125
2025-03-02,23006.26953125
2025-03-03,22941.76953125
2025-03-04,23594.2109375
2025-03-05,24369.7109375
2025-03-06,24231.30078125
2025-03-09,23783.490234375
2025-03-10,23782.140625
2025-03-11,23600.310546875
2025-03-12,23462.650390625
2025-03-13,23959.98046875
2025-03-16,24145.5703125
2025-03-17,24740.5703125
2025-03-18,24771.140625
2025-03-19,24219.94921875
2025-03-20,23689.720703125
2025-03-23,23905.560546875
2025-03-24,23344.25
2025-03-25,23483.3203125
2025-03-26,23578.80078125
2025-03-27,23426.599609375
2025-03-30,23119.580078125
2025-03-31,23206.83984375
2025-04-01,23202.529296875
2025-04-02,22849.810546875
2025-04-06,19828.30078125
2025-04-07,20127.6796875
2025-04-08,20264.490234375
2025-04-09,20681.779296875
2025-04-10,20914.689453125
2025-04-13,21417.400390625
2025-04-14,21466.26953125
2025-04-15,21056.98046875
2025-04-16,21395.140625
2025-04-21,21562.3203125
2025-04-22,22072.619140625
2025-04-23,21909.759765625
2025-04-24,21980.740234375
2025-04-27,21971.9609375
2025-04-28,22008.109375
2025-04-29,22119.41015625
2025-05-01,22504.6796875
2025-05-05,22662.7109375
2025-05-06,22691.880859375
2025-05-07,22775.919921875
2025-05-08,22867.740234375
2025-05-11,23549.4609375
2025-05-12,23108.26953125
2025-05-13,23640.650390625
2025-05-14,23453.16015625
2025-05-15,23345.05078125
2025-05-18,23332.720703125
2025-05-19,23681.48046875
2025-05-20,23827.779296875
2025-05-21,23544.310546875
2025-05-22,23601.259765625
2025-05-25,23282.330078125
2025-05-26,23381.990234375
