,nav
2023-08-10,1.0
2023-08-11,1.0
2023-08-14,1.0
2023-08-15,1.0
2023-08-16,1.0
2023-08-17,1.0
2023-08-18,1.0
2023-08-21,1.0
2023-08-22,1.0
2023-08-23,1.0
2023-08-24,1.0
2023-08-25,1.0
2023-08-28,1.0
2023-08-29,1.0
2023-08-30,1.0
2023-08-31,1.0
2023-09-01,1.0
2023-09-04,1.0
2023-09-05,1.0
2023-09-06,1.0
2023-09-07,1.0
2023-09-08,1.0
2023-09-11,1.0
2023-09-12,1.0
2023-09-13,1.0
2023-09-14,1.0
2023-09-15,1.0
2023-09-18,1.0
2023-09-19,1.0
2023-09-20,1.0
2023-09-21,1.0
2023-09-22,1.0
2023-09-25,1.0
2023-09-26,1.0
2023-09-27,1.0
2023-09-28,1.0
2023-10-09,1.0
2023-10-10,1.0
2023-10-11,1.0
2023-10-12,1.0
2023-10-13,1.0
2023-10-16,1.0
2023-10-17,1.0
2023-10-18,1.0
2023-10-19,1.0
2023-10-20,1.0
2023-10-23,1.0
2023-10-24,1.0
2023-10-25,1.0
2023-10-26,1.0
2023-10-27,1.0
2023-10-30,1.0
2023-10-31,1.0
2023-11-01,1.0
2023-11-02,1.0
2023-11-03,1.0
2023-11-06,1.0
2023-11-07,1.0
2023-11-08,1.0
2023-11-09,1.0
2023-11-10,1.0
2023-11-13,1.0
2023-11-14,1.0
2023-11-15,1.0
2023-11-16,1.0
2023-11-17,1.0
2023-11-20,1.0
2023-11-21,1.0
2023-11-22,1.0
2023-11-23,1.0
2023-11-24,1.0
2023-11-27,1.0
2023-11-28,1.0
2023-11-29,1.0
2023-11-30,1.0
2023-12-01,1.0
2023-12-04,1.0
2023-12-05,1.0
2023-12-06,1.0
2023-12-07,1.0
2023-12-08,1.0
2023-12-11,1.0
2023-12-12,1.0
2023-12-13,1.0
2023-12-14,1.0
2023-12-15,0.9940866349955311
2023-12-18,0.9933971691394528
2023-12-19,0.9922397175968004
2023-12-20,0.9946371492031155
2023-12-21,0.9901764751896612
2023-12-22,0.9927522846154986
2023-12-25,0.992767312650008
2023-12-26,0.9914401648335482
2023-12-27,0.9952092271884557
2023-12-28,0.9921770783625842
2023-12-29,0.992054032308485
2024-01-02,1.0028636784265161
2024-01-03,1.0073672336507125
2024-01-04,1.0102430736001382
2024-01-05,1.011487359403037
2024-01-08,1.0056155379356426
2024-01-09,1.0090943200492595
2024-01-10,1.0059917713194204
2024-01-11,1.0014591153503005
2024-01-12,1.0049931138392942
2024-01-15,1.0117975956879282
2024-01-16,1.0126961638408172
2024-01-17,1.000856634419995
2024-01-18,0.9953192305018104
2024-01-19,0.9953050606240476
2024-01-22,0.9825026764585589
2024-01-23,0.9858152087310443
2024-01-24,0.9973885757937627
2024-01-25,1.0077541159876982
2024-01-26,1.0185224726689455
2024-01-29,1.0210490587195968
2024-01-30,1.016204939386237
2024-01-31,1.0167398622170727
2024-02-01,1.0115418056617684
2024-02-02,1.0166757112362108
2024-02-05,1.0130555063232982
2024-02-06,1.0200290051646663
2024-02-07,1.028963068931205
2024-02-08,1.0296701633822967
2024-02-19,1.0405274385615173
2024-02-20,1.0481237579924692
2024-02-21,1.04684926990879
2024-02-22,1.0553756024293006
2024-02-23,1.0546057987181707
2024-02-26,1.0293262211341034
2024-02-27,1.0334963036616398
2024-02-28,1.0316067343273685
2024-02-29,1.0354968457617317
2024-03-01,1.035110554384799
2024-03-04,1.0347129462740114
2024-03-05,1.048957857674064
2024-03-06,1.0428275716291144
2024-03-07,1.047762955362474
2024-03-08,1.0496728169678402
2024-03-11,1.0439558460458214
2024-03-12,1.0281808045471577
2024-03-13,1.0198410225291514
2024-03-14,1.0208907533237026
2024-03-15,1.0225772593374833
