d,s,code,name
2023-08-10,3.7745089416324,510300.SH,沪深300ETF
2023-08-10,2.6615124494313,510880.SH,红利
2023-08-10,0.42,512170.SH,医疗
2023-08-10,1.0533053551857,512400.SH,有色
2023-08-10,0.435,512480.SH,半导体
2023-08-10,0.835,512690.SH,酒
2023-08-10,0.57332245357344,512800.SH,银行
2023-08-10,1.074,512880.SH,证券
2023-08-10,453.62,AU9999.SHG,黄金现货
2023-08-11,3.6858616364519,510300.SH,沪深300ETF
2023-08-11,2.6249101171209,510880.SH,红利
2023-08-11,0.416,512170.SH,医疗
2023-08-11,1.0298115554417,512400.SH,有色
2023-08-11,0.425,512480.SH,半导体
2023-08-11,0.814,512690.SH,酒
2023-08-11,0.56181598199212,512800.SH,银行
2023-08-11,1.027,512880.SH,证券
2023-08-11,455.25,AU9999.SHG,黄金现货
2023-08-14,3.6606671391901,510300.SH,沪深300ETF
2023-08-14,2.6196812125051,510880.SH,红利
2023-08-14,0.415,512170.SH,医疗
2023-08-14,1.0210013805378,512400.SH,有色
2023-08-14,0.422,512480.SH,半导体
2023-08-14,0.805,512690.SH,酒
2023-08-14,0.55481204276871,512800.SH,银行
2023-08-14,1.017,512880.SH,证券
2023-08-14,455.95,AU9999.SHG,黄金现货
2023-08-15,3.6569346210773,510300.SH,沪深300ETF
2023-08-15,2.6405968309682,510880.SH,红利
2023-08-15,0.41,512170.SH,医疗
2023-08-15,1.0141490222791,512400.SH,有色
2023-08-15,0.4115,512480.SH,半导体
2023-08-15,0.804,512690.SH,酒
2023-08-15,0.56081541924592,512800.SH,银行
2023-08-15,1.036,512880.SH,证券
2023-08-15,456.0,AU9999.SHG,黄金现货
2023-08-16,3.6289407352308,510300.SH,沪深300ETF
2023-08-16,2.6397253468656,510880.SH,红利
2023-08-16,0.41,512170.SH,医疗
2023-08-16,1.0033810307298,512400.SH,有色
2023-08-16,0.4025,512480.SH,半导体
2023-08-16,0.802,512690.SH,酒
2023-08-16,0.55931457512662,512800.SH,银行
2023-08-16,1.038,512880.SH,证券
2023-08-16,456.79,AU9999.SHG,黄金现货
2023-08-17,3.6410714190976,510300.SH,沪深300ETF
2023-08-17,2.638853862763,510880.SH,红利
2023-08-17,0.412,512170.SH,医疗
2023-08-17,1.0092544806658,512400.SH,有色
2023-08-17,0.4065,512480.SH,半导体
2023-08-17,0.819,512690.SH,酒
2023-08-17,0.55581260551491,512800.SH,银行
2023-08-17,1.038,512880.SH,证券
2023-08-17,456.7,AU9999.SHG,黄金现货
2023-08-18,3.5944149426868,510300.SH,沪深300ETF
2023-08-18,2.6397253468656,510880.SH,红利
2023-08-18,0.404,512170.SH,医疗
2023-08-18,0.98869740588988,512400.SH,有色
