d,s
2023-08-07,331.48833781594
2023-08-08,325.27050264002
2023-08-09,327.60219083099
2023-08-10,330.12818637121
2023-08-11,326.24203938626
2023-08-14,323.71604384605
2023-08-15,323.1331217983
2023-08-16,319.4412821626
2023-08-17,323.32742914755
2023-08-18,315.7494425269
2023-08-21,308.94868530325
2023-08-22,309.92022204949
2023-08-23,308.94868530325
2023-08-24,315.94374987615
2023-08-25,310.89175879572
2023-08-28,315.94374987615
2023-08-29,320.02420421035
2023-08-30,316.52667192389
2023-08-31,315.7494425269
2023-09-04,323.91035119529
2023-09-05,319.63558951185
2023-09-06,318.27543806712
2023-09-07,312.4462175897
2023-09-11,314.77790578067
2023-09-12,312.83483228819
2023-09-13,311.08606614497
2023-09-14,310.69745144647
2023-09-15,308.17145590626
2023-09-18,303.31377217508
2023-09-19,303.50807952432
2023-09-20,300.39916193637
2023-09-21,294.3756341097
2023-09-22,304.67392361981
2023-09-25,295.73578555443
2023-09-26,291.46102387099
2023-09-27,293.40409736346
2023-09-28,288.93502833077
2023-09-29,297.48455169766
2023-10-03,292.04394591873
2023-10-04,289.12933568002
2023-10-05,291.26671652174
2023-10-06,296.51301495142
2023-10-09,298.26178109465
2023-10-10,299.42762519013
2023-10-11,302.14792807959
2023-10-12,307.58853385852
2023-10-13,298.0674737454
2023-10-16,292.62686796647
2023-10-17,293.59840471271
2023-10-18,291.46102387099
2023-10-19,282.91150050411
2023-10-20,280.77411966239
2023-10-24,274.94489918497
2023-10-25,279.6082755669
2023-10-26,279.41396821765
2023-10-27,284.46595929809
2023-10-30,286.9919548383
2023-10-31,280.96842701163
2023-11-01,278.83104616991
2023-11-02,280.38550496389
2023-11-03,293.9870194112
2023-11-06,303.70238687357
2023-11-07,299.81623988862
2023-11-08,299.62193253938
2023-11-09,298.0674737454
2023-11-10,294.18132676045
2023-11-13,300.98208398411
2023-11-14,299.03901049163
2023-11-15,313.41775433594
2023-11-16,315.55513517766
2023-11-17,306.22838241379
2023-11-20,317.30390132088
2023-11-21,315.55513517766
2023-11-22,315.16652047916
2023-11-23,319.8298968611
2023-11-24,312.05760289121
2023-11-27,313.61206168518
2023-11-28,310.50314409723
2023-11-29,307.97714855701
2023-11-30,317.69251601938
2023-12-01,309.92022204949
2023-12-04,307.78284120776
2023-12-05,300.01054723787
2023-12-06,302.73085012733
2023-12-07,299.03901049163
2023-12-08,296.90162964991
2023-12-11,298.45608844389
2023-12-12,302.53654277809
2023-12-13,298.26178109465
2023-12-14,297.6788590469
2023-12-15,305.4511530168
2023-12-18,302.73085012733
2023-12-19,302.92515747658
2023-12-20,305.25684566755
2023-12-21,303.70238687357
2023-12-22,266.20106846884
2023-12-27,276.88797267744
2023-12-28,284.66026664733
2023-12-29,285.24318869507
2024-01-02,288.15779893378
2024-01-03,292.04394591873
2024-01-04,290.29517977551
2024-01-05,283.88303725034
2024-01-08,279.80258291615
2024-01-09,275.52782123271
2024-01-10,272.2245962955
2024-01-11,279.21966086841
2024-01-12,280.19119761464
2024-01-15,281.16273436088
2024-01-16,274.36197713722
2024-01-17,266.78399051658
2024-01-18,269.69860075529
2024-01-19,263.48076557937
2024-01-22,254.73693486324
2024-01-23,264.25799497636
2024-01-24,273.77905508948
2024-01-25,282.52288580561
2024-01-26,274.75059183572
2024-01-29,273.97336243873
2024-01-30,266.00676111959
2024-01-31,262.89784353163
2024-02-01,263.86938027787
2024-02-02,271.44736689851
2024-02-05,271.64167424776
2024-02-06,282.52288580561
2024-02-07,283.88303725034
2024-02-08,279.02535351916
2024-02-09,279.02535351916
2024-02-14,281.74565640862
2024-02-15,277.27658737593
2024-02-16,283.49442255185
2024-02-19,276.69366532819
2024-02-20,276.11074328045
2024-02-21,280.57981231314
2024-02-22,283.10580785335
2024-02-23,282.52288580561
2024-02-26,279.02535351916
2024-02-27,276.49935797894
2024-02-28,269.11567870755
2024-02-29,269.30998605679
2024-03-01,269.50429340604
2024-03-04,268.33844931056
2024-03-05,260.56615534066
2024-03-06,266.78399051658
2024-03-07,263.28645823013
2024-03-08,262.31492148389
2024-03-11,270.67013750153
2024-03-12,282.52288580561
2024-03-13,282.32857845636
2024-03-14,280.96842701163
2024-03-15,275.72212858196
2024-03-18,281.55134905938
2024-03-19,276.88797267744
2024-03-20,280.57981231314
2024-03-21,282.91150050411
2024-03-22,280.57981231314
2024-03-25,280.38550496389
2024-03-26,290.87810182325
2024-03-27,293.40409736346
2024-03-28,295.15286350669
2024-04-02,300.39916193637
2024-04-03,299.62193253938
2024-04-05,301.17639133336
2024-04-08,296.70732230067
2024-04-09,296.31870760217
2024-04-10,305.25684566755
2024-04-11,306.03407506454
2024-04-12,300.78777663486
2024-04-15,295.73578555443
2024-04-16,293.20979001422
2024-04-17,292.23825326798
2024-04-18,295.73578555443
2024-04-19,295.15286350669
2024-04-22,311.28037349422
2024-04-23,322.93881444906
2024-04-24,334.40294805465
2024-04-25,329.73957167271
2024-04-26,338.48340238884
2024-04-29,337.70617299185
2024-04-30,337.31755829336
2024-05-02,350.14184334368
2024-05-03,354.02799032863
2024-05-06,359.6629034568
2024-05-07,355.38814177336
2024-05-08,351.11338008992
2024-05-09,359.27428875831
2024-05-10,360.44013285379
2024-05-13,367.43519742669
2024-05-14,370.93272971315
2024-05-16,385.70008825594
2024-05-17,387.07198897636
2024-05-20,387.07198897636
2024-05-21,375.90079739578
2024-05-22,376.68474066459
2024-05-23,374.13692504095
2024-05-24,369.43326542807
2024-05-27,369.82523706248
2024-05-28,372.56903850333
2024-05-29,363.55369091198
2024-05-30,360.61390365393
2024-05-31,352.5784851486
2024-06-03,367.47340725604
2024-06-04,369.82523706248
2024-06-05,373.15699595494
2024-06-06,373.94093922375
2024-06-07,367.27742143884
2024-06-11,366.29749235282
2024-06-12,363.35770509477
2024-06-13,372.17706686892
2024-06-14,372.17706686892
2024-06-17,373.54896758934
2024-06-18,369.43326542807
2024-06-19,381.19241446027
2024-06-20,379.82051373985
2024-06-21,373.74495340655
2024-06-24,372.76502432053
2024-06-25,374.33291085816
2024-06-26,374.33291085816
2024-06-27,366.88544980443
2024-06-28,364.9255916324
2024-07-02,361.78981855715
2024-07-03,371.78509523451
2024-07-04,374.72488249256
2024-07-05,372.17706686892
2024-07-08,371.0011519657
